电影排名,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDB,摘要,评分,投票,5星,4星,3星,2星,1星
No.64,美丽心灵 A Beautiful Mind,朗·霍华德,阿齐瓦·高斯曼、西尔维娅·纳萨尔,罗素·克劳、艾德·哈里斯、詹妮弗·康纳利、克里斯托弗·普卢默、保罗·贝坦尼、亚当·戈德堡、乔什·卢卡斯、安东尼·拉普、贾森·加里-斯坦福德、贾德·赫希、奥斯汀·潘德尔顿、薇薇·卡登尼、吉莉·西蒙、维克多·斯坦巴赫、坦娅·克拉克、罗伊·辛尼斯、谢丽尔·霍华德、兰斯·霍华德、简·詹金斯、乔什·帕斯、瓦伦蒂娜·卡迪纳利、蒂格尔·F·伯格里、迈克尔·埃斯佩尔、艾米·瓦尔兹、小艾德.朱普、卡拉·奥奇格罗索、斯特里奥·萨万特、迈克尔·阿伯特、雷吉·奥斯汀、凯德·比特纳、理查·布莱恩特、丹·陈、乔纳·福尔肯、法布里奇奥·范特、斯科特·费恩斯特罗姆、迈克尔·菲奥里、塞斯·盖贝尔、埃文·哈特、杰森·霍顿、布莱丝·达拉斯·霍华德、朗·霍华德、多里·曼佐尔、罗伯特·迈尔斯、里德·彭尼、米尔斯·彼埃尔、肖恩·里德,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　本片是关于20世纪伟大数学家小约翰•福布斯-纳什的人物传记片。
                                    
                                　　小约翰•福布斯-纳什（拉塞尔•克劳）在念研究生时，便发表了著名的博弈理论，该理论虽只有短短26页，却在经济、军事等领域产生了深远的影响。但就在小约翰•福布斯-纳什蜚声国际时，他的出众直觉因为精神分裂症受到困扰，然而这并没阻止他向学术上的最高层进军的步伐，在深爱他的妻子艾丽西亚（珍妮弗•康纳利）的鼓励和帮助下，他走得虽然艰缓，却始终没有停步，而最终，凭借十几年的不懈努力和顽强意志，他如愿以偿。
                        ",9.1,814754,60.1%,33.4%,6.0%,0.4%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.67,情书 Love Letter,岩井俊二,岩井俊二,中山美穗、丰川悦司、酒井美纪、柏原崇、范文雀、篠原胜之、铃木庆一、田口智朗、加贺麻理子、光石研、铃木兰兰、盐见三省、中村久美、梅田凡乃、长田江身子 、小栗香织、神户浩、酒井敏也、山口诗史、山崎一、德井优、武藤寿美,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　日本神户某个飘雪的冬日，渡边博子（中山美穗）在前未婚夫藤井树的两周年祭日上又一次悲痛到不能自已。正因为无法抑制住对已逝恋人的思念，渡边博子在其中学同学录里发现“藤井树” 在小樽市读书时的地址时，依循着寄发了一封本以为是发往天国的情书。
                                    
                                　　不想不久渡边博子竟然收到署名为“藤井树（酒井美纪）”的回信，经过进一步了解，她知晓此藤井树是一个同她年纪相仿的女孩，且还是男友藤井树（柏原崇）少年时代的同班同学。为了多了解一些昔日恋人在中学时代的情况，渡边博子开始与女性藤井树书信往来。而藤井树在不断的回忆中，渐渐发现少年时代与她同名同姓的那个藤井树曾对自己藏了一腔柔情。
                        ",8.9,1203762,56.7%,32.8%,9.2%,0.9%,0.3%
No.68,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",盖·里奇,盖·里奇,杰森·弗莱明、德克斯特·弗莱彻、尼克·莫兰、杰森·斯坦森、斯蒂文·麦金托什、尼古拉斯·罗尔、维尼·琼斯、蓝尼·麦克林、P.H.莫里亚蒂、弗兰克·哈珀、史蒂夫·斯威尼、休吉·里弗、罗尼·福克斯、斯蒂芬·马库斯、瓦斯·布莱克伍德、斯汀、杰克·亚伯拉罕、罗伯·布莱顿、薇拉·黛、阿兰·福德、席德·戈尔德、丹尼·约翰-儒勒、维克多·麦奎尔、安德鲁·蒂曼、马修·沃恩、布拉德·雅各布维茨,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　艾迪（尼克·莫伦）思维敏捷，是个玩牌高手。在三个好友的支持下，艾迪携巨资参加了黑社会的高额赌局，不想落入圈套，欠下50万的赌债。为了还清赌债，艾迪和朋友们绞尽脑汁，最终算计到一群毒贩身上，并为打劫购买了两杆老式烟枪。
                                    
                                　　不想这群不安分的毒贩，正惦念着他们毒品供应商的钱，并在同一天实施了打劫。在毒贩们费尽周折，把毒品供应商熨的整整齐齐的钱款拿到手后，艾迪他们幸运的坐享其成。可是他们不知道，这看似简单的抢劫案背后，更有厉害的角色参与其中。他们手里的两杆破烟枪也隐藏着不少故事。
                                    
                                　　在无知与莽撞中置身漩涡的他们能侥幸脱身么？笑料迭出的偶发事件里，穿插着小人物与大人物的辛酸幽默。
                        ",9.1,636447,64.1%,29.2%,5.9%,0.5%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.70,看不见的客人 Contratiempo,奥里奥尔·保罗,奥里奥尔·保罗,马里奥·卡萨斯、阿娜·瓦格纳、何塞·科罗纳多、巴巴拉·莱涅、弗兰塞斯克·奥雷利亚、帕科·图斯、大卫·塞尔瓦斯、伊尼戈·加斯特西、圣·耶拉莫斯、马内尔·杜维索、布兰卡·马丁内斯、佩雷·布拉索、霍尔迪·布鲁内特、鲍比·冈萨雷斯、玛蒂娜·乌尔塔多,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　艾德里安（马里奥·卡萨斯 Mario Casas 饰）经营着一间科技公司，事业蒸蒸日上，家中有美丽贤惠的妻子和活泼可爱的女儿，事业家庭双丰收的他是旁人羡慕的对象。然而，野心勃勃的艾德里安并未珍惜眼前来之不易的生活，一直以来，他和一位名叫劳拉（芭芭拉·蓝妮 Bárbara Lennie 饰）的女摄影师保持着肉体关系。
                                    
                                　　某日幽会过后，两人驱车离开别墅，却在路上发生了车祸，为了掩盖事件的真相，两人决定将在车祸中死去的青年丹尼尔联同他的车一起沉入湖底。之后，劳拉遇见了一位善良的老人，老人将劳拉坏掉的车拉回家中修理，然而，令劳拉没有想到的是，这位老人，竟然就是丹尼尔的父亲。
                        ",8.8,1360177,48.7%,41.6%,9.1%,0.5%,0.1%
No.71,西西里的美丽传说 Malèna,朱塞佩·托纳多雷,朱塞佩·托纳多雷、卢恰诺·温琴佐尼,莫妮卡·贝鲁奇、朱塞佩·苏尔法罗、Luciano Federico、玛蒂尔德·皮亚纳、Pietro Notarianni、Gaetano Aronica、Gilberto Idonea、Angelo Pellegrino、Gabriella Di Luzio、Pippo Provvidenti、Maria Terranova、Marcello Catalano、埃丽萨·莫鲁奇、Domenico Gennaro、Vitalba Andrea、Giuseppe Pattavina、Franco Catalano、Daniele Arena、Giovanni Litrico、Gianluca Guarrera,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",8.9,1038053,55.4%,36.5%,7.4%,0.5%,0.2%
No.72,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,大卫·叶茨,史蒂夫·克洛夫斯、J·K·罗琳,丹尼尔·雷德克里夫、艾玛·沃森、鲁伯特·格林特、海伦娜·伯翰·卡特、拉尔夫·费因斯、艾伦·瑞克曼、玛吉·史密斯、汤姆·费尔顿、邦妮·怀特、朱丽·沃特斯、迈克尔·刚本、伊文娜·林奇、多姆纳尔·格里森、克蕾曼丝·波西、詹森·艾萨克、海伦·麦克洛瑞、马修·刘易斯、梁佩诗、约翰·赫特、大卫·休里斯、加里·奥德曼、吉姆·布劳德本特、艾玛·汤普森、娜塔丽·特纳、蒂莫西·斯波、大卫·布拉德利、罗彼·考特拉尼、凯莉·麦克唐纳、塞伦·希德,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　当又一次和伏地魔（拉尔夫·费因斯 Ralph Fiennes 饰）的意识连通，哈利·波特（丹尼尔·雷德克里夫 Daniel Radcliffe 饰）断定最后一件魂器藏在霍格沃茨，于是和罗恩（鲁伯特·格林特 Rupert Grint 饰）、赫敏（艾玛·沃森 Emma Watson 饰）一同返回阴云密布的学校。在好友们的帮助下，他们成功驱逐了斯内普（艾伦·瑞克曼 Alan Rickman 饰），然而觉察到哈利目的的伏地魔则率领徒众向霍格沃茨逼近。食死徒、摄魂怪、巨人疯狂涌入这所有着悠久历史的魔法学校，正邪决战旋即爆发，一时间血雨腥风，死伤无数。从斯内普的眼泪中，哈利不仅了解到父辈的故事，也证实了藏缅于他体内最后的秘密。在此之后，他也和伏地魔迎来了最后的对决……
                                    
                                　　本片根据英国作家J.K.罗琳的同名原著改编，也是“哈利·波特”系列影片的完结篇。
                        ",9.0,895631,59.7%,31.4%,8.1%,0.6%,0.2%
No.73,阿凡达 Avatar,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿、佐伊·索尔达娜、西格妮·韦弗、史蒂芬·朗、米歇尔·罗德里格兹、吉奥瓦尼·瑞比西、乔·大卫·摩尔 、希·庞德、韦斯·斯塔迪、拉兹·阿隆索、迪利普·劳、马特·杰拉德、肖恩·安东尼·莫兰、杰森·怀特、斯科特·劳伦斯、凯利·基尔戈、詹姆斯·皮特、肖恩·帕特里克·墨菲、彼得·狄龙、凯文·多曼、凯尔森·亨德森、大卫·范·霍恩、雅克布·托毛里、Julene Renee、卢克·霍克、伍迪·舒尔茨、彼得·门萨、伊拉姆·崔、黛布拉·威尔逊、Chris Mala、马修张伯伦、詹姆斯·盖林、拉斯科·阿特金斯、Jørn Benzon、罗恩·贝特曼、Robert Catto、罗德尼·库克、Nicole Dionne、安东尼·英格鲁伯、蒂姆·卡诺、卡米尔·基南、迪恩·诺斯利、Emma Law,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",8.8,1496999,54.2%,34.9%,9.9%,0.8%,0.3%
No.74,拯救大兵瑞恩 Saving Private Ryan,史蒂文·斯皮尔伯格,罗伯特·罗达特,汤姆·汉克斯、汤姆·塞兹摩尔、爱德华·伯恩斯、巴里·佩珀、亚当·戈德堡、范·迪塞尔、吉奥瓦尼·瑞比西、杰瑞米·戴维斯、马特·达蒙、特德·丹森、保罗·吉亚玛提、丹尼斯·法里纳、马克斯·马蒂尼、丹兰·布鲁诺、丹尼尔·切尔奎拉、迪米特里·格里特萨斯、史蒂夫·格里芬、彼得·迈尔斯、亚当·肖、罗尔夫·萨克森、克里·约翰逊、洛克兰·艾肯、尚恩·约翰逊、莱尔德·曼辛托斯、安德鲁·斯科特、马修·夏普、文森特·沃尔什、约翰·沙拉恩、马丁·哈伯、罗非洛·迪格托勒、恩里奇·雷德曼、米歇尔·埃文斯、内森·菲利安、利兰·奥瑟、大卫·维格、瑞恩·赫斯特、哈威·普雷斯内尔、代尔·戴、布莱恩·克兰斯顿、大卫·沃尔、埃里克·罗兰、哈里逊·杨、凯思琳·拜荣、约翰·德·兰西、詹姆斯·恩布里、德里克·李、若昂·科斯塔·梅内塞斯、马克·施泰因迈尔,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　瑞恩（马特•达蒙 Matt Damon饰 ）是二战期间的美国伞兵，被困在了敌人后方。更不幸的是，他的三个兄弟全部在战争中死亡，如果他也遇难，家中的老母亲将无依无靠。
                                    
                                　　美国作战总指挥部知道了这个情况，毅然决定组织一个小分队前往救援，其中包括米勒上尉（汤姆•汉克斯 Tom Hanks 饰 ）和翻译厄本（杰里米.戴维斯 Jererry Davies饰）。然而，敌方危险重重，他们一路上随时与死亡打交道。他们非常怀疑，到底值不值得冒着八个人的生命危险，去搭救一个人。
                                    
                                　　大家一路辗转寻找瑞恩，对于这次搭救行动，有人不满，有人热忱，有人好奇。大家一次次闻到死神的气息，瑞恩的获救付出了沉重的代价。
                        ",9.1,686635,60.4%,32.8%,6.2%,0.4%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.152,花样年华 花樣年華,王家卫,王家卫,梁朝伟、张曼玉、潘迪华、萧炳林、张耀扬、孙佳君、钱似莺、顾锦华,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　1960年代的香港，报馆编辑周慕云（梁朝伟 饰）与太太搬进一间住户多是上海人的公寓，和某家日资公司的贸易代表陈先生与太太苏丽珍（张曼玉 饰）成了邻居。因为发现各自在外工作的配偶背着他们有了婚外情，周慕云和苏丽珍开始见面商讨未来可能发生的事情以及相应对策。
                                    
                                　　起初两人是君子之交淡如水就事谈事，可是日子一日接一日过去后，在周围一帮上海邻居的闲言碎语中，他们发现配偶的事早空出了他们的脑袋，彼此眼里只剩下了对方，而刻意回避已生出的感情的结果，是更加刻骨的相思。
                        ",8.8,660271,49.3%,40.4%,9.5%,0.7%,0.2%
No.153,头号玩家 Ready Player One,史蒂文·斯皮尔伯格,塞克·潘、恩斯特·克莱恩,泰伊·谢里丹、奥利维亚·库克、本·门德尔森、马克·里朗斯、丽娜·维特、森崎温、赵家正、西蒙·佩吉、T·J·米勒、汉娜·乔恩-卡门、拉尔夫·伊内森、苏珊·林奇、克莱尔·希金斯、劳伦斯·斯佩尔曼、佩蒂塔·维克斯、艾萨克·安德鲁斯,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　故事发生在2045年，虚拟现实技术已经渗透到了人类生活的每一个角落。詹姆斯哈利迪（马克·里朗斯 Mark Rylance 饰）一手建造了名为“绿洲”的虚拟现实游戏世界，临终前，他宣布自己在游戏中设置了一个彩蛋，找到这枚彩蛋的人即可成为绿洲的继承人。要找到这枚彩蛋，必须先获得三把钥匙，而寻找钥匙的线索就隐藏在詹姆斯的过往之中。
                                    
                                　　韦德（泰尔·谢里丹 Tye Sheridan 饰）、艾奇（丽娜·维特 Lena Waithe 饰）、大东（森崎温 饰）和修（赵家正 饰）是游戏中的好友，和之后遇见的阿尔忒弥斯（奥利维亚·库克 Olivia Cooke 饰）一起，五人踏上了寻找彩蛋的征程。他们所要对抗的，是名为诺兰索伦托（本·门德尔森 Ben Mendelsohn 饰）的大资本家。
                        ",8.6,1441676,48.2%,38.0%,12.1%,1.3%,0.4%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.156,七武士 七人の侍,黑泽明,黑泽明、桥本忍、小国英雄,三船敏郎、志村乔、津岛惠子、岛崎雪子、藤原釜足、加东大介、木村功、千秋实、宫口精二、小杉义男、左卜全、稻叶义男、土屋嘉男、高堂国典、东野英治郎、上田吉二郎、多多良纯、渡边笃、小川虎之助、山形勋、上山草人、清水元、高木新平、大友伸、高原骏雄、稻垣三郎、堺左千夫、千石规子、本间文子、大久保正信、伊藤实、大村千吉、广濑正一、宇野晃司、谷晃、中岛春雄、清水美恵、熊谷卓三、夏木顺平、岩本弘司、堤康久、马野都留子、森今日子、加藤武、仲代达矢、宇津井健、山本廉,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　日本战国时代，一小山村面临着山贼的威胁，为了保护秋天的收成，村中长老决定让去请武士来保护村子安全，但只能拿出的报酬是一天三顿的白米饭。在城里，他们遭到了武士白眼甚至被打。直到勘兵卫（志村乔饰）的出现，他现今已沦为浪人，几经考虑最后答应了。他对农民说至少需要七名武士，于是久藏（宫口精二饰）、胜四郎（木村功饰）、五郎（稻叶义男饰）、七郎（加东大介饰）、平八（千秋实饰）和菊千代（三船敏郎饰）等六人也加入了队伍，七个人肩负保卫村子的任务。
                                    
                                　　整个防御准备的过程中，武士与农民间发生许多摩擦也闹出不少笑话。而在一次偷袭行动中，有武士为救农民被火枪打死，很快山贼的反扑随之而来，一场恶战即将开始。
                        ",9.3,214652,71.3%,23.5%,4.5%,0.4%,0.3%
No.157,惊魂记 Psycho,阿尔弗雷德·希区柯克,约瑟夫·斯蒂凡诺、罗伯特·布洛克,安东尼·博金斯、维拉·迈尔斯、约翰·加文、珍妮特·利、马丁·鲍尔萨姆、约翰·麦克因泰、西蒙·奥克兰、弗兰克·艾伯森、帕特里夏·希区柯克、沃恩·泰勒、卢伦·塔特尔、约翰·安德森、莫特·米尔斯、吉特·卡森、维吉尼亚·格雷格、阿尔弗雷德·希区柯克、珍妮特·诺兰、罗伯特·奥斯本、海伦·华莱士、Fletcher Allen、沃尔特·培根、弗朗西斯·德塞尔斯、乔治·多克斯塔德、乔治·埃尔德雷奇、哈珀·弗莱厄蒂、萨姆·弗林特、弗兰克·基尔蒙德、泰德·奈特、帕特·麦卡弗里、汉斯-乔基姆·默比斯、弗雷德·谢威勒,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.0,327097,59.1%,34.2%,6.1%,0.4%,0.2%
No.158,我是山姆 I Am Sam,杰茜·尼尔森,杰茜·尼尔森、克里斯汀·约翰逊,西恩·潘、达科塔·范宁、米歇尔·菲佛、黛安·韦斯特、洛雷塔·迪瓦恩、理查德·希夫、劳拉·邓恩,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　在星巴克工作的山姆（西恩•潘 Sean Penn 饰），虽已成人，但智力水平只有7岁。一次偶然，他收留了一个流浪女。该女子帮山姆生下了一个女儿后消失得无影无踪。
                                    
                                　　他给女儿取名叫露西（达科塔•范宁 Dakota Fanning 饰），因为他最喜欢甲壳虫乐队的《天空中戴钻石 的露西》。他非常疼爱自己的孩子。露西在山姆的细心呵护下慢慢地长大了，她发现爸爸不能看懂稍微复杂一些的故事。她在拒绝长大，希望和爸爸一样。父女俩的生活是那么幸福。
                                    
                                　　地区的教育官员发现了这个特殊的家庭，他们认为山姆没有能力照顾露西，于是把露西带走了。
                                    
                                　　伤心极了的山姆一心要挣回露西的抚养权，于是他自以为是的去找该地区最好的律师……
                        ",9.0,358244,57.6%,34.6%,7.1%,0.5%,0.2%
No.159,血战钢锯岭 Hacksaw Ridge,梅尔·吉布森,安德鲁·奈特、罗伯特·申坎,安德鲁·加菲尔德、萨姆·沃辛顿、文斯·沃恩、雨果·维文、卢克·布雷西、泰莉莎·帕尔墨、瑞切尔·格里菲斯、内森奈尔·布佐里克、理查德·劳斯伯格、马特·纳夫莱、费拉斯·迪拉尼、瑞安·柯尔、卢克·佩格勒,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　1945年，第二次世界大战接近尾声，作为邪恶轴心重要成员的日本，其嚣张态势已成强弩之末。是年，决定战局走向的冲绳岛战役拉开序幕，成千上万斗志昂扬的美国大兵被派往冲绳，等待他们的则是敌军重兵防守、凶险异常的钢锯岭。在这群人中间，却有一个不愿拿起武器的军医。他名叫戴斯蒙德·道斯（安德鲁·加菲尔德 Andrew Garfield 饰），来自美国的弗吉尼亚。太平洋爆发之际，瘦弱的戴斯蒙德志愿成为救死扶伤的军医而应征入伍。可因童年和家庭的原因，他始终不愿拿起枪支操练，为此宁愿背上拒服兵役的罪名被送上军事法庭。几经周折，戴斯蒙德最终和战友来到了钢锯岭。枪林弹雨，转瞬之间无数人应声倒地。在信仰和信念的支持下，戴斯蒙德仅凭一己之力拯救了数十条濒死的生命……
                                    
                                　　本片根据真人真事改编。
                        ",8.7,821282,46.5%,41.6%,10.8%,0.9%,0.2%
No.160,阳光姐妹淘 써니,姜炯哲,姜炯哲、李炳宪,沈恩敬、闵孝琳、姜素拉、南宝拉、陈熙琼、金时厚、柳好贞、朴真珠、李妍京、金甫美、千玗嬉、李璟荣,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　25年前，高中生任娜美（沈恩京 饰）一家从全罗道搬到汉城，娜美入读真德女子高中，因方言浓重怯于开口的娜美幸运的得到了同班大姐头夏春花（姜索拉 饰）的维护，并与围绕在夏春花周围的执着于双眼皮的金玫瑰、满嘴脏话的黄珍熙、梦想成为作家的徐金玉、要成为韩国小姐的俞福姬以及沉默傲慢的美人郑秀智等五人结识。在一次和不良少女团对决之后，春花和娜美等七人组成了“Sunny”团体……
                                    
                                　　多年以后，家庭主妇娜美在去医院探望母亲时偶然重逢了身患绝症住院的春花，后者希望在生命的最后两个月内，能够再见当年的Sunny成员。娜美找到金玫瑰，两人委托私家侦探寻找当年的同伴，而那些关于青春的回忆，也在一个个熟悉的名姓后面再次被唤醒。
                        ",8.8,613514,51.2%,38.0%,9.7%,0.8%,0.2%
No.161,恐怖直播 더 테러 라이브,金秉祐,金秉祐,河正宇、李璟荣、全慧珍、李大卫、金弘波、崔正贤、崔代勋、姜信哲、韩成天、孙成灿、金素辰、金大明、金海仁,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　韩国首尔某个平凡的早上，广播电台Daily Topic节目的主持人尹英华（河正宇 饰）正就税率改革与听众进行连线，这时一个自称住在首尔昌信洞的普通工人朴鲁圭打入电话，大肆抱怨超高的电费和相关部门对他的威胁。尹英华颇不耐烦，以偏离主题为由强行切断电话。谁知连线无法单方面由电台方面中断，愤怒的朴鲁圭继续抱怨，并扬言炸掉汉江大桥。尹英华不以为然，进而怂恿对方想做就做，谁知话音刚落，窗外的麻浦大桥便炸作废墟。大惊失色的尹英华很快冷静下来，他决定利用这次难得的机会打一次事业的翻身仗。
                                    
                                　　在他的主持下，针对恐怖分子的连线直播就此展开，无关良知的节目拉开帷幕……
                        ",8.7,693864,47.8%,41.5%,9.8%,0.7%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.163,黑客帝国3：矩阵革命 The Matrix Revolutions,拉娜·沃卓斯基、莉莉·沃卓斯基,莉莉·沃卓斯基、拉娜·沃卓斯基,基努·里维斯、劳伦斯·菲什伯恩、凯瑞-安·莫斯、雨果·维文、贾达·萍克特·史密斯、凯特·宾汉、玛丽·爱丽丝、莫妮卡·贝鲁奇、埃茜·戴维斯、克里斯托弗·卡比、罗伯特·马莫内、罗宾·奈文、吉娜薇·欧瑞丽、诺娜·加耶、纳撒尼尔·利斯、哈里·列尼斯、哈罗德·佩里诺、鲁伯特·雷德、凯文·迈克尔·理查德森、大卫·罗伯茨、布鲁斯·斯宾斯、吉娜·托瑞斯、克莱顿·华生、赫尔穆特·巴凯蒂斯、邹兆龙、乔·曼宁、Tanveer K. Atwal、拉黑·休姆、康奈尔·韦斯特、伯纳德·怀特、朗贝尔·维尔森、安东尼·布兰登·黄、安东尼·泽比、克雷格·沃克,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",8.8,472780,54.1%,35.2%,9.7%,0.8%,0.2%
No.164,"三块广告牌 Three Billboards Outside Ebbing, Missouri",马丁·麦克唐纳,马丁·麦克唐纳,弗兰西斯·麦克多蒙德、伍迪·哈里森、山姆·洛克威尔、艾比·考尼什、卢卡斯·赫奇斯、彼特·丁拉基、约翰·浩克斯、卡莱伯·兰德里·琼斯、凯瑟琳·纽顿、凯瑞·康顿、泽利科·伊万内克、萨玛拉·维文、克拉克·彼得斯、尼克·瑟西、阿曼达·沃伦、玛拉雅·瑞沃拉·德鲁、布兰登·萨克斯顿、迈克尔·艾伦·米利甘,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　米尔德雷德（弗兰西斯·麦克多蒙德 Frances McDormand 饰）的女儿在外出时惨遭奸杀，米尔德雷德和丈夫查理（约翰·哈克斯 John Hawkes 饰）之间的婚姻因此走到了尽头，如今，她同儿子罗比（卢卡斯·赫奇斯 Lucas Hedges饰）过着相依为命的生活。一晃眼几个月过去了，案件仍然没有告破预兆，而警方似乎早已经将注意力从案子上转移了开来。
                                    
                                　　被绝望和痛苦缠绕的米尔德雷德租下了高速公路边上的三块巨型广告牌，在上面控诉警方办案无能，并将矛头直接对准了警察局局长威洛比（伍迪·哈里森 Woody Harrelson 饰）。实际上，威洛比一直隐瞒着自己身患绝症命不久矣的事实。因为这三块广告牌，米尔德雷德和威洛比的生活发生了翻天覆地的变化。
                        ",8.7,872966,46.8%,43.4%,8.9%,0.7%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.167,达拉斯买家俱乐部 Dallas Buyers Club,让-马克·瓦雷,克莱格·鲍登、梅丽莎·沃雷克,马修·麦康纳、詹妮弗·加纳、杰瑞德·莱托、斯蒂夫·扎恩、达拉斯·罗伯特斯、凯文·兰金、丹尼斯·欧哈拉、简·麦克尼尔、格里芬·邓恩、詹姆斯·杜蒙特、朱丽叶·里夫斯、斯蒂菲·格罗特、J·D·埃弗摩尔,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",8.8,481082,50.3%,41.8%,7.4%,0.4%,0.1%
No.168,小丑 Joker,托德·菲利普斯,托德·菲利普斯、斯科特·西尔弗,华金·菲尼克斯、罗伯特·德尼罗、马克·马龙、莎姬·贝兹、谢伊·惠格姆、弗兰西丝·康罗伊、布莱恩·考伦、布莱恩·泰里·亨利、布莱特·卡伦、道格拉斯·霍奇斯、格伦·弗莱舍尔、比尔·坎普、乔什·帕斯、但丁·佩雷拉-奥尔森、玛丽·凯特·马拉特、迈克尔·本茨、莎珑·华盛顿、桑德拉·詹姆斯、托尼·赫德、曼德拉·贝拉米、乔·奥克曼、卡尔·伦德施泰特、米克·奥罗克、大卫·吉布森、伊万·罗萨多、安妮·比萨比亚、布莱斯·科里根、乔恩·道格拉斯·雷尼、艾恩斯利·丹恩、杰森·约翰·奇卡莱塞,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　湿冷无望的哥谭市，卑微的亚瑟·弗兰克（华金·菲尼克斯 Joaquin Phoenix 饰）依靠扮演小丑赚取营生。与之相依为命的母亲患有精神疾病，而亚瑟深记母亲的教诲，无论遭受怎样的挫折都笑对人生，却因此让自己背负着莫大的压力，濒临崩溃。他梦想成为一名脱口秀演员，怎奈生活一次次将失望狠狠地砸在他的头上。不仅如此，他因意外丢掉了工作，偶然瞥见母亲的秘密，又使他心中燃起对那个与之地位悬殊却从未谋面的父亲的殷切渴望。命运习惯了事与愿违，空荡荡的地铁内，悲伤的小丑在无法自已的癫狂笑声中大开杀戒……
                                    
                                　　本片荣获第76届威尼斯电影节金狮奖。
                        ",8.7,1076411,51.0%,37.3%,10.0%,1.1%,0.6%
No.169,疯狂原始人 The Croods,柯克·德·米科、克里斯·桑德斯,克里斯·桑德斯、柯克·德·米科、约翰·克里斯,尼古拉斯·凯奇、艾玛·斯通、瑞安·雷诺兹、凯瑟琳·基纳、克萝丽丝·利奇曼、克拉克·杜克、克里斯·桑德斯、兰迪·汤姆,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",8.7,882096,46.6%,41.4%,11.2%,0.6%,0.1%
