电影排名,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDB,摘要,评分,投票,5星,4星,3星,2星,1星
No.21,熔炉 도가니,黄东赫,黄东赫、孔枝泳,孔刘、郑裕美、金贤秀、郑仁絮、白承焕、张光、金民尚、林贤成、金周灵、严孝燮、全国焕、崔镇浩、金志映、严智星、许在浩、张素妍,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　来自首尔的哑语美术老师仁浩（孔宥 饰）来到雾津，应聘慈爱聋哑人学校。天降大雾，他意外撞车，维修时邂逅了人权组织成员柔珍（郑有美 饰）。仁浩妻子早亡，8岁女儿天生哮喘由祖母照看，所以他不辞辛苦谋职养家。然而，双胞胎的校长与教导主任竟逼仁浩索贿5千万韩元。同时，仁浩逐渐发现学校笼罩着一种紧张压抑的气氛，令人窒息。有三个孩子引人关注：聪颖的金妍斗（金贤秀 饰）、贪吃的陈宥利（郑仁絮 饰）和弟弟自杀身亡的全民秀（白承焕 饰），民秀总是满脸淤青。下课后，仁浩还听到女厕所中有呼喊与哭泣，在门卫的阻拦下他未深究。之后。他意外目睹了校长行贿警察，教导员毒打民秀，宿导溺罚妍斗的行径。一个惊天的隐秘被慢慢揭开，真相令韩国震惊……
                                    
                                　　本片取材于2005年光州一所聋哑障碍人学校的真实事件，改编自韩国作家孔枝泳的同名小说。
                        ",9.3,985160,71.5%,24.9%,3.3%,0.2%,0.1%
No.22,教父 The Godfather,弗朗西斯·福特·科波拉,马里奥·普佐、弗朗西斯·福特·科波拉,马龙·白兰度、阿尔·帕西诺、詹姆斯·肯恩、理查德·卡斯特尔诺、罗伯特·杜瓦尔、斯特林·海登、约翰·马利、理查德·康特、艾尔·勒提埃里、黛安·基顿、阿贝·维高达、塔莉娅·夏尔、吉亚尼·罗素、约翰·凯泽尔、鲁迪·邦德、兰尼·蒙大拿,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　40年代的美国，“教父”维托·柯里昂（马龙·白兰度 饰）是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。
                                    
                                　　因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化。圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克（阿尔·帕西诺 饰）也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。
                                    
                                　　年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？
                                    
                                　　血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。
                        ",9.3,1035481,72.2%,22.7%,4.5%,0.4%,0.2%
No.23,触不可及 Intouchables,奥利维埃·纳卡什、埃里克·托莱达诺,奥利维埃·纳卡什、埃里克·托莱达诺,弗朗索瓦·克鲁塞、奥玛·希、安娜·勒尼、奥德雷·弗勒罗、约瑟芬娜·德·摩、克洛蒂尔德·莫莱特、阿尔芭·贝露琪、Cyril Mendy、萨丽马特·卡马特、Absa Diatou Toure、Grégoire Oestermann、Dominique Daguier、François Caron、Christian Ameri、托马·索利韦尔,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　因为一次跳伞事故，白人富翁菲利普Philippe（弗朗索瓦·克鲁塞 François Cluzet 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德希斯Driss（奥玛·赛 Omar Sy 饰）的出现才让他作出决定。德希斯刚从监狱出来，背负家庭重担，一心只想寻张辞退信以申领救济金，而且他明显对女助理的兴趣要远大于这份工作。但是菲利普还是一眼相中了这个小伙子。于是，德希斯开始了一个月的试用期。虽然舒适的豪宅环境让他倍感虚荣，但是他仍面临很多挑战：不仅要为菲利普作身体复健，还得给他洗浴、灌肠、拆信、穿丝袜等。起初，两人的思维方式与价值观大相径庭，但是，随着了解的不断深入，他们成为了朋友……
                                    
                                　　本片取材于真实事件，获2011年东京电影节最佳影片金麒麟奖，弗朗索瓦·克鲁塞与奥玛·赛分享影帝桂冠。
                        ",9.3,1205729,68.8%,26.8%,4.1%,0.3%,0.1%
No.24,当幸福来敲门 The Pursuit of Happyness,加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯、贾登·史密斯、坦迪·牛顿、布莱恩·豪威 、詹姆斯·凯伦、丹·卡斯泰兰尼塔、柯特·富勒、塔卡尤·费舍尔、凯文·韦斯特、乔治·张、戴维·迈克尔·西尔弗曼、多米尼克·博夫、杰弗·卡伦、乔伊芙·拉文、斯科特·克拉斯,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　克里斯•加纳（威尔·史密斯 Will Smith 饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿 Thandie Newton 饰）最终选择离开家。从此他带着儿子克里斯托夫（贾登·史密斯 Jaden Smith 饰）相依为命。克里斯好不容易争取回来一个股票投资公司实习的机会，就算没有报酬，成功机会只有百分之五，他仍努力奋斗，儿子是他的力量。他看尽白眼，与儿子躲在地铁站里的公共厕所里，住在教堂的收容所里…… 他坚信，幸福明天就会来临。
                        ",9.2,1603742,64.7%,28.9%,5.7%,0.4%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.27,龙猫 となりのトトロ,宫崎骏,宫崎骏,日高范子、坂本千夏、糸井重里、岛本须美、北林谷荣、高木均、雨笠利幸、丸山裕子、广濑正志、鹫尾真知子、铃木玲子、千叶繁、龙田直树、鳕子、西村朋纮、石田光子、神代知衣、中村大树、水谷优子、平松晶子、大谷育江,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　小月的母亲生病住院了，父亲带着她与四岁的妹妹小梅到乡间的居住。她们对那里的环境都感到十分新奇，也发现了很多有趣的事情。她们遇到了很多小精灵，她们来到属于她们的环境中，看到了她们世界中很多的奇怪事物，更与一只大大胖胖的龙猫成为了朋友。龙猫与小精灵们利用他们的神奇力量，为小月与妹妹带来了很多神奇的景观，令她们大开眼界。
                                    
                                　　妹妹小梅常常挂念生病中的母亲，嚷着要姐姐带着她去看母亲，但小月拒绝了。小梅竟然自己前往，不料途中迷路了，小月只好寻找她的龙猫及小精灵朋友们帮助。
                        ",9.2,1339582,64.4%,29.5%,5.8%,0.2%,0.1%
No.28,怦然心动 Flipped,罗伯·莱纳,罗伯·莱纳、安德鲁·沙因曼、文德琳·范·德拉安南,玛德琳·卡罗尔、卡兰·麦克奥利菲、瑞贝卡·德·莫妮、安东尼·爱德华兹、约翰·马奥尼、佩内洛普·安·米勒、艾丹·奎因、凯文·韦斯曼、摩根·莉莉、瑞安·克茨纳、吉莉安·普法夫、迈克尔·博萨、博·勒纳、杰奎琳·埃沃拉、泰勒·格鲁秀斯、艾莉·布莱恩特、阿什莉·泰勒、伊瑟尔·布罗萨德、科迪·霍恩、迈克尔·博尔顿、肖恩·哈珀、斯戴芬妮·斯考特、帕特丽夏·伦茨、马修·戈尔德、阿罗拉·凯瑟琳·史密斯、凯莉·唐纳利、索菲亚·撒高、米歇尔·梅斯默、斯科特·乔尔·吉兹基、罗德·迈尔斯、卡拉 帕西托、凯特琳·帕西托,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.1,1941410,62.1%,30.4%,6.8%,0.5%,0.2%
No.29,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,克里斯·哥伦布,史蒂夫·克洛夫斯、J·K·罗琳,丹尼尔·雷德克里夫、艾玛·沃森、鲁伯特·格林特、艾伦·瑞克曼、玛吉·史密斯、汤姆·费尔顿、伊恩·哈特、理查德·哈里斯、约翰·赫特、罗彼·考特拉尼、朱丽·沃特斯、邦妮·怀特、约翰·克里斯、肖恩·比格斯代夫,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　哈利波特是一个孤儿，从小寄养在姨妈家，受尽欺凌。但就在哈利11岁生日的时候，他意外收到了霍格沃茨学院的入学通知书。哈利从该学院派来接他的巨人海格口中得知，这是一间魔法学院，并得知了自己的身世，原来哈利的父母都是伟大的魔法师，在对付伏地魔的战斗中双双献身，唯有哈利幸免于难。
                                    
                                　　哈利进入霍格沃茨后，表现出了超乎想象的飞行天赋，得到麦格教授的推荐进入了格兰芬多的魁地奇球队。另一方面，哈利发现霍格沃茨学院内有一股黑暗势力似乎在暗暗滋长，揭开谜团的关键就在有凶恶的三头犬守护的房间内。
                                    
                                　　哈利、罗恩和赫敏三个好朋友决定探个究竟。
                        ",9.2,1306686,65.9%,28.2%,5.5%,0.3%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
